projeto,modo,status,AT,AC,AE,tempo_s,must_dom_ok,must_eco_ok,must_ling_ok,metodo,seed,fitness_final,AE_raw_surrogate,all_must_ok,best_generation,gens_executed,stop_reason,dom_score,eco_score,ling_score,population_size,generations,elitism_count,mutation_rate,crossover_rate,stable_gens,crossover_operator,team_size_testado
P1,AE_FULL_SURROGATE,OK,0.9126985,0.8,0.8187830833333334,7.059393,True,True,True,GA_CALIBRADO_CCC,1,0.8187830833333334,0.8187830833333334,True,19,39,stable_gens_no_improve,0.857143,1.0,0.9285715,150,200,3,0.005,1.0,20,ccc,4
P1,AE_FULL_SURROGATE,OK,0.825397,0.6666666666666666,0.6931217222222221,8.906713,True,True,True,GA_CALIBRADO_CCC,2,0.6931217222222221,0.6931217222222221,True,25,45,stable_gens_no_improve,0.6428575,0.857143,0.9285715,150,200,3,0.005,1.0,20,ccc,4
P1,AE_FULL_SURROGATE,OK,0.7857144444444444,0.9,0.8047620370370371,29.290872,True,True,True,GA_CALIBRADO_CCC,3,0.8047620370370371,0.8047620370370371,True,39,59,stable_gens_no_improve,0.6428575,0.5,0.9285715,150,200,3,0.005,1.0,20,ccc,4
P1,AE_FULL_SURROGATE,OK,0.7857144444444444,0.8666666666666667,0.7992064814814815,10.210326,True,True,True,GA_CALIBRADO_CCC,4,0.7992064814814815,0.7992064814814815,True,48,68,stable_gens_no_improve,0.6428575,0.5,0.9285715,150,200,3,0.005,1.0,20,ccc,4
P1,AE_FULL_SURROGATE,OK,0.9126985,0.8,0.8187830833333334,5.777767,True,True,True,GA_CALIBRADO_CCC,5,0.8187830833333334,0.8187830833333334,True,11,31,stable_gens_no_improve,0.857143,1.0,0.9285715,150,200,3,0.005,1.0,20,ccc,4
P1,AE_FULL_SURROGATE,OK,0.7857144444444444,0.9,0.8047620370370371,25.363074,True,True,True,GA_CALIBRADO_CCC,6,0.8047620370370371,0.8047620370370371,True,14,34,stable_gens_no_improve,0.6428575,0.5,0.9285715,150,200,3,0.005,1.0,20,ccc,4
P1,AE_FULL_SURROGATE,OK,0.9126985,0.8,0.8187830833333334,36.65561,True,True,True,GA_CALIBRADO_CCC,7,0.8187830833333334,0.8187830833333334,True,27,47,stable_gens_no_improve,0.857143,1.0,0.9285715,150,200,3,0.005,1.0,20,ccc,4
P1,AE_FULL_SURROGATE,OK,0.9285714999999999,0.7666666666666666,0.7936508055555554,41.738069,True,True,True,GA_CALIBRADO_CCC,8,0.7936508055555554,0.7936508055555554,True,41,61,stable_gens_no_improve,0.7857145,1.0,1.0,150,200,3,0.005,1.0,20,ccc,4
P1,AE_FULL_SURROGATE,OK,0.9126985,0.8,0.8187830833333334,28.139403,True,True,True,GA_CALIBRADO_CCC,9,0.8187830833333334,0.8187830833333334,True,23,43,stable_gens_no_improve,0.857143,1.0,0.9285715,150,200,3,0.005,1.0,20,ccc,4
P1,AE_FULL_SURROGATE,OK,0.9365079999999999,0.7333333333333333,0.7671957777777777,20.928867,True,True,True,GA_CALIBRADO_CCC,10,0.7671957777777777,0.7671957777777777,True,10,30,stable_gens_no_improve,0.857143,0.857143,1.0,150,200,3,0.005,1.0,20,ccc,4
