projeto,modo,status,AT,AC,AE,tempo_s,mip_gap_pct,must_dom_ok,must_eco_ok,must_ling_ok,team_size_testado
P1,AE_FULL_EXACT_BINS,Optimal,0.912698,0.8,0.818783,109.69,0.0,True,True,True,4
P2,AE_FULL_EXACT_BINS,Optimal,0.833334,0.9,0.844445,208.44,0.0,True,True,True,4
P3,AE_FULL_EXACT_BINS,Optimal,0.809524,0.833333,0.813492,186.75,0.0,True,True,True,4
P4,AE_FULL_EXACT_BINS,Optimal,0.857143,0.9,0.864286,45.74,0.0,True,True,True,4
P5,AE_FULL_EXACT_BINS,Optimal,0.896825,0.833333,0.843915,34.46,0.0,True,True,True,4
P6,AE_FULL_EXACT_BINS,Optimal,0.857143,0.766667,0.781746,508.73,0.0,True,True,True,4
P7,AE_FULL_EXACT_BINS,Optimal,0.865079,0.9,0.8709,585.89,0.0,True,True,True,4
P8,AE_FULL_EXACT_BINS,Optimal,0.849206,0.9,0.857672,195.47,0.0,True,True,True,4
P9,AE_FULL_EXACT_BINS,Optimal,0.873016,0.866667,0.867725,122.19,0.0,True,True,True,4
P10,AE_FULL_EXACT_BINS,Optimal,0.904762,0.9,0.900794,105.33,0.0,True,True,True,4
P11,AE_FULL_EXACT_BINS,Optimal,0.84127,0.833333,0.834656,73.92,0.0,True,True,True,4
P12,AE_FULL_EXACT_BINS,Optimal,0.873016,0.9,0.877513,226.69,0.0,True,True,True,4
