project_id,team_size_k,ilp_status,ilp_AE,ilp_AT,ilp_AC,ilp_time_s,ilp_mip_gap_pct,ga_best_AE,ga_best_AT,ga_best_AC,ga_best_seed,ga_total_time_30_runs_s,ga_mean_time_per_run_s,ga_n_runs,AE_difference_ILP_minus_GA,gap_pct,winner_quality
P1,5,Optimal,0.798095,0.785715,0.86,90.87,0.0,0.79809537,0.78571444,0.86,1,211.165026,7.038834,30,-3.7e-07,0.0,TIE
P10,5,Optimal,0.8709,0.86508,0.9,192.13,0.0,0.86756625,0.8650795,0.88,1,107.139318,3.571311,30,0.00333375,0.382794,ILP
P11,5,Optimal,0.844392,0.84127,0.86,41.62,0.0,0.84439167,0.84127,0.86,30,123.139611,4.104654,30,3.3e-07,3.9e-05,TIE
P12,5,Optimal,0.87418,0.873016,0.88,116.79,0.0,0.87418,0.873016,0.88,1,128.512631,4.283754,30,0.0,0.0,TIE
P2,5,Optimal,0.857619,0.857143,0.86,122.01,0.0,0.85761917,0.857143,0.86,3,159.597264,5.319909,30,-1.7e-07,0.0,TIE
P3,5,Optimal,0.821217,0.81746,0.84,369.12,0.0,0.82121708,0.8174605,0.84,1,160.247818,5.341594,30,-8e-08,0.0,TIE
P4,5,Optimal,0.864286,0.857143,0.9,68.6,0.0061,0.84417992,0.8650795,0.84,7,157.848534,5.261618,30,0.02010608,2.326323,ILP
P5,5,Optimal,0.849471,0.896825,0.84,102.96,0.0,0.8208995,0.825397,0.82,3,134.610414,4.487014,30,0.0285715,3.363446,ILP
P6,5,Optimal,0.772222,0.833333,0.76,418.07,0.0,0.77222225,0.8333335,0.76,4,120.285534,4.009518,30,-2.5e-07,0.0,TIE
P7,5,Optimal,0.8709,0.865079,0.9,290.95,0.0,0.86084658,0.8650795,0.86,16,118.473056,3.949102,30,0.01005342,1.154371,ILP
P8,5,Optimal,0.862169,0.873016,0.86,89.27,0.0,0.86216933,0.873016,0.86,1,131.459237,4.381975,30,-3.3e-07,0.0,TIE
P9,5,Optimal,0.862169,0.873016,0.86,116.53,0.0,0.86216933,0.873016,0.86,2,118.596592,3.95322,30,-3.3e-07,0.0,TIE
P1,6,Optimal,0.795873,0.785714,0.846667,104.97,0.0,0.79587315,0.78571444,0.84666667,3,152.323928,5.077464,30,-1.5e-07,0.0,TIE
P10,6,Optimal,0.866455,0.865079,0.873333,931.67,0.0,0.86645514,0.8650795,0.87333333,3,131.908843,4.396961,30,-1.4e-07,0.0,TIE
