project_id,team_size_k,ilp_status,ilp_optimal_certified,ilp_AE,ilp_AT,ilp_AC,ilp_time_s,ilp_mip_gap_pct,ga_best_AE,ga_best_AT,ga_best_AC,ga_best_seed,ga_total_time_s,ga_mean_time_per_run_s,ga_n_runs,raw_AE_difference_ILP_minus_GA,signed_difference_pct,absolute_difference_pct,reported_comparison
P1,4,Feasible (decomp: A=Feasible (time limit); B=Feasible (time limit)),False,0.818783,0.912698,0.8,7209.5,18.5982,0.8187830833333334,0.9126985,0.8,1,216.134332,7.204478,30,-8.33e-08,-1e-05,1e-05,TIE
P2,4,Feasible (decomp: A=Feasible (time limit); B=Feasible (time limit)),False,0.844445,0.833333,0.9,7202.61,10.1351,0.8444445833333334,0.8333335,0.9,3,162.396373,5.413212,30,4.167e-07,4.9e-05,4.9e-05,TIE
P3,4,Feasible (decomp: A=Feasible (time limit); B=Feasible (time limit)),False,0.80291,0.81746,0.8,7202.49,25.1196,0.8134922222222222,0.809524,0.8333333333333333,4,92.593009,3.086434,30,-0.0105822222,-1.317984,1.317984,GA_REPORTED_HIGHER
P4,4,Feasible (decomp: A=Optimal; B=Feasible (time limit)),False,0.864286,0.857143,0.9,5390.05,4.4757,0.8642858333333333,0.857143,0.9,18,90.25474,3.008491,30,1.667e-07,1.9e-05,1.9e-05,TIE
P5,4,Feasible (decomp: A=Optimal; B=Feasible (time limit)),False,0.843915,0.896825,0.833333,6923.06,2.2272,0.8201059722222221,0.8174605,0.8333333333333333,12,102.937839,3.431261,30,0.0238090278,2.821259,2.821259,ILP_REPORTED_HIGHER
P6,4,Feasible (decomp: A=Feasible (time limit); B=Feasible (time limit)),False,0.781746,0.857143,0.766667,7218.54,18.5053,0.7817460555555554,0.857143,0.7666666666666666,14,122.859151,4.095305,30,-5.56e-08,-7e-06,7e-06,TIE
P7,4,Feasible (decomp: A=Feasible (time limit); B=Feasible (time limit)),False,0.859325,0.851191,0.9,7210.74,11.3145,0.8708995833333334,0.8650795,0.9,9,195.643767,6.521459,30,-0.0115745833,-1.346939,1.346939,GA_REPORTED_HIGHER
P8,4,Feasible (decomp: A=Optimal; B=Feasible (time limit)),False,0.857672,0.849206,0.9,6138.29,5.6054,0.8576720833333334,0.8492065,0.9,4,320.557761,10.685259,30,-8.33e-08,-1e-05,1e-05,TIE
P9,4,Feasible (decomp: A=Feasible (time limit); B=Feasible (time limit)),False,0.867725,0.873016,0.866667,7207.63,6.1337,0.867724888888889,0.873016,0.8666666666666667,1,191.526246,6.384208,30,1.111e-07,1.3e-05,1.3e-05,TIE
P10,4,Feasible (decomp: A=Feasible (time limit); B=Feasible (time limit)),False,0.900794,0.904762,0.9,7209.73,5.5891,0.9007936666666666,0.9047620000000001,0.9,2,205.565767,6.852192,30,3.333e-07,3.7e-05,3.7e-05,TIE
P11,4,Feasible (decomp: A=Feasible (time limit); B=Feasible (time limit)),False,0.8,0.8,0.8,7209.73,16.5842,0.8346561111111112,0.84127,0.8333333333333334,14,128.311933,4.277064,30,-0.0346561111,-4.332014,4.332014,GA_REPORTED_HIGHER
P12,4,Feasible (decomp: A=Feasible (time limit); B=Feasible (time limit)),False,0.877513,0.873016,0.9,7205.69,10.323,0.839947111111111,0.873016,0.8333333333333333,1,312.029381,10.400979,30,0.0375658889,4.28095,4.28095,ILP_REPORTED_HIGHER
