project_id,candidate_id,teacher_score,surrogate_score,absolute_error
P1,P1_T001,0.374907,0.400132,0.025225
P1,P1_T002,0.201477,0.199074,0.002403
P1,P1_T003,0.299909,0.310185,0.010276
P1,P1_T004,0.176875,0.166931,0.009944
P1,P1_T005,0.368855,0.376984,0.008129
P1,P1_T006,0.365588,0.404762,0.039174
P1,P1_T007,0.164574,0.155820,0.008754
P1,P1_T008,0.189176,0.178042,0.011134
P1,P1_T009,0.176875,0.176852,0.000023
P1,P1_T010,0.201477,0.199074,0.002403
P1,P1_T011,0.186370,0.187963,0.001593
P1,P1_T012,0.213779,0.200265,0.013514
P1,P1_T013,0.425929,0.406482,0.019447
P1,P1_T014,0.176875,0.176852,0.000023
P1,P1_T015,0.431771,0.504630,0.072859
P1,P1_T016,0.122672,0.131019,0.008347
P1,P1_T017,0.358650,0.393519,0.034869
P1,P1_T018,0.176875,0.166931,0.009944
P1,P1_T019,0.435514,0.451588,0.016074
P1,P1_T020,0.298504,0.262831,0.035673
P1,P1_T021,0.136166,0.142130,0.005964
P1,P1_T022,0.127983,0.240741,0.112758
P1,P1_T023,0.349580,0.362434,0.012854
P1,P1_T024,0.176875,0.166931,0.009944
P1,P1_T025,0.213779,0.200265,0.013514
P1,P1_T026,0.329809,0.384260,0.054451
P1,P1_T027,0.136166,0.142130,0.005964
P1,P1_T028,0.351345,0.383598,0.032253
P1,P1_T029,0.122672,0.131019,0.008347
P1,P1_T030,0.127983,0.136574,0.008591
P1,P1_T031,0.127983,0.141534,0.013551
P1,P1_T032,0.351177,0.334921,0.016256
P1,P1_T033,0.329809,0.384260,0.054451
P1,P1_T034,0.342182,0.352513,0.010331
P1,P1_T035,0.141478,0.152646,0.011168
P1,P1_T036,0.136166,0.142130,0.005964
P1,P1_T037,0.201477,0.199074,0.002403
P1,P1_T038,0.176875,0.166931,0.009944
P1,P1_T039,0.164574,0.165741,0.001167
P1,P1_T040,0.352067,0.363757,0.011690
P1,P1_T041,0.136166,0.246296,0.110130
P1,P1_T042,0.141478,0.147685,0.006207
P1,P1_T043,0.213779,0.210185,0.003594
P1,P1_T044,0.477335,0.476190,0.001145
P1,P1_T045,0.181622,0.172487,0.009135
P1,P1_T046,0.352695,0.401455,0.048760
P1,P1_T047,0.149661,0.153241,0.003580
P1,P1_T048,0.122672,0.131019,0.008347
P1,P1_T049,0.122672,0.131019,0.008347
P1,P1_T050,0.164574,0.165741,0.001167
P1,P1_T051,0.141478,0.142725,0.001247
P1,P1_T052,0.122672,0.126058,0.003386
P1,P1_T053,0.365588,0.396825,0.031237
P1,P1_T054,0.127983,0.136574,0.008591
P1,P1_T055,0.189176,0.178042,0.011134
P1,P1_T056,0.307413,0.312831,0.005418
P1,P1_T057,0.176875,0.176852,0.000023
P1,P1_T058,0.163156,0.164352,0.001196
P1,P1_T059,0.181622,0.182407,0.000785
P1,P1_T060,0.308793,0.333995,0.025202
P1,P1_T061,0.304554,0.290344,0.014210
P1,P1_T062,0.146789,0.148280,0.001491
