condition,project,round,time_s
C1_Sur_noGA,P1,1,0.352295
C1_Sur_noGA,P1,2,0.647793
C1_Sur_noGA,P1,3,0.49696
C1_Sur_noGA,P1,4,0.464684
C1_Sur_noGA,P1,5,0.569036
C2_Sur_withGA,P1,1,0.501862
C2_Sur_withGA,P1,2,0.693221
C2_Sur_withGA,P1,3,0.636074
C2_Sur_withGA,P1,4,0.477995
C2_Sur_withGA,P1,5,0.490472
C3_BN_noGA,P1,1,8.256687
C3_BN_noGA,P1,2,11.633613
C3_BN_noGA,P1,3,13.714804
C3_BN_noGA,P1,4,13.568938
C3_BN_noGA,P1,5,14.544671
C4_BN_withGA,P1,1,13.206175
C4_BN_withGA,P1,2,13.840669
C4_BN_withGA,P1,3,14.498634
C4_BN_withGA,P1,4,15.232877
C4_BN_withGA,P1,5,7.829051
C1_Sur_noGA,P2,1,0.432564
C1_Sur_noGA,P2,2,0.44708
C1_Sur_noGA,P2,3,0.493019
C1_Sur_noGA,P2,4,0.399905
C1_Sur_noGA,P2,5,0.387311
C2_Sur_withGA,P2,1,0.417443
C2_Sur_withGA,P2,2,0.433038
C2_Sur_withGA,P2,3,0.49744
C2_Sur_withGA,P2,4,0.424294
C2_Sur_withGA,P2,5,0.430322
C3_BN_noGA,P2,1,8.303639
C3_BN_noGA,P2,2,7.759279
C3_BN_noGA,P2,3,11.622036
C3_BN_noGA,P2,4,7.875356
C3_BN_noGA,P2,5,15.780478
C4_BN_withGA,P2,1,13.658653
C4_BN_withGA,P2,2,11.850723
C4_BN_withGA,P2,3,11.464758
C4_BN_withGA,P2,4,11.683202
C4_BN_withGA,P2,5,11.409865
C1_Sur_noGA,P3,1,0.820713
C1_Sur_noGA,P3,2,0.615722
C1_Sur_noGA,P3,3,0.723692
C1_Sur_noGA,P3,4,0.519355
C1_Sur_noGA,P3,5,0.497148
C2_Sur_withGA,P3,1,0.703668
C2_Sur_withGA,P3,2,0.543985
C2_Sur_withGA,P3,3,0.528069
C2_Sur_withGA,P3,4,0.560651
C2_Sur_withGA,P3,5,0.51987
C3_BN_noGA,P3,1,10.682158
C3_BN_noGA,P3,2,11.478445
C3_BN_noGA,P3,3,12.089964
C3_BN_noGA,P3,4,11.972967
C3_BN_noGA,P3,5,11.559543
C4_BN_withGA,P3,1,11.596298
C4_BN_withGA,P3,2,11.712906
C4_BN_withGA,P3,3,11.176479
C4_BN_withGA,P3,4,11.066291
C4_BN_withGA,P3,5,11.777637
C1_Sur_noGA,P4,1,0.63398
C1_Sur_noGA,P4,2,0.728448
C1_Sur_noGA,P4,3,0.7289
C1_Sur_noGA,P4,4,0.516275
C1_Sur_noGA,P4,5,0.528388
C2_Sur_withGA,P4,1,0.636046
C2_Sur_withGA,P4,2,0.513872
C2_Sur_withGA,P4,3,0.522945
C2_Sur_withGA,P4,4,0.451163
C2_Sur_withGA,P4,5,0.394242
C3_BN_noGA,P4,1,10.615324
C3_BN_noGA,P4,2,11.267511
C3_BN_noGA,P4,3,10.995098
C3_BN_noGA,P4,4,11.033398
C3_BN_noGA,P4,5,11.085109
C4_BN_withGA,P4,1,12.691149
C4_BN_withGA,P4,2,11.458138
C4_BN_withGA,P4,3,11.379025
C4_BN_withGA,P4,4,11.386198
C4_BN_withGA,P4,5,11.44033
C1_Sur_noGA,P5,1,0.62518
C1_Sur_noGA,P5,2,0.804387
C1_Sur_noGA,P5,3,0.642774
C1_Sur_noGA,P5,4,0.540907
C1_Sur_noGA,P5,5,0.666464
C2_Sur_withGA,P5,1,0.590746
C2_Sur_withGA,P5,2,0.55366
C2_Sur_withGA,P5,3,0.864089
C2_Sur_withGA,P5,4,0.619745
C2_Sur_withGA,P5,5,0.726887
C3_BN_noGA,P5,1,11.125386
C3_BN_noGA,P5,2,10.876711
C3_BN_noGA,P5,3,11.077106
C3_BN_noGA,P5,4,11.099181
C3_BN_noGA,P5,5,11.267958
C4_BN_withGA,P5,1,11.167171
C4_BN_withGA,P5,2,11.010436
C4_BN_withGA,P5,3,11.870472
C4_BN_withGA,P5,4,11.837415
C4_BN_withGA,P5,5,11.602076
