condition,project,n_rounds,mean_s,std_s,min_s,max_s
C1_Sur_noGA,P1,5,0.5061536,0.1112347008,0.352295,0.647793
C1_Sur_noGA,P2,5,0.4319758,0.0417679173,0.387311,0.493019
C1_Sur_noGA,P3,5,0.635326,0.1370252158,0.497148,0.820713
C1_Sur_noGA,P4,5,0.6271982,0.103329791,0.516275,0.7289
C1_Sur_noGA,P5,5,0.6559424,0.0955240527,0.540907,0.804387
C2_Sur_withGA,P1,5,0.5599248,0.0980740153,0.477995,0.693221
C2_Sur_withGA,P2,5,0.4405074,0.0323870967,0.417443,0.49744
C2_Sur_withGA,P3,5,0.5712486,0.0756550542,0.51987,0.703668
C2_Sur_withGA,P4,5,0.5036536,0.0904578392,0.394242,0.636046
C2_Sur_withGA,P5,5,0.6710254,0.1257409744,0.55366,0.864089
C3_BN_noGA,P1,5,12.3437426,2.5215722515,8.256687,14.544671
C3_BN_noGA,P2,5,10.2681576,3.4676349134,7.759279,15.780478
C3_BN_noGA,P3,5,11.5566154,0.5542121233,10.682158,12.089964
C3_BN_noGA,P4,5,10.999288,0.2387039083,10.615324,11.267511
C3_BN_noGA,P5,5,11.0892684,0.1402330971,10.876711,11.267958
C4_BN_withGA,P1,5,12.9214812,2.9448583842,7.829051,15.232877
C4_BN_withGA,P2,5,12.0134402,0.9364313231,11.409865,13.658653
C4_BN_withGA,P3,5,11.4659222,0.3235148471,11.066291,11.777637
C4_BN_withGA,P4,5,11.670968,0.5713108692,11.379025,12.691149
C4_BN_withGA,P5,5,11.497514,0.3911313869,11.010436,11.870472
