pool,candidate_pool_size,project,team_size_k,knowledge_version,milp_status,milp_certified,milp_AE,ga_best_AE,signed_AE_difference,absolute_AE_difference,signed_relative_difference_pct,comparison,ga_runs,ga_valid_runs,ga_AE_mean,ga_AE_median,ga_AE_std,milp_time_s,ga_mean_time_s,ga_total_time_s,runtime_review_required
B0,510,P1,5,V2,Optimal,1,0.688767,0.68876679,2.1E-7,2.1E-7,0.00003048926560070386647443910640,TIE,30,30,0.6737773,0.68150183,0.01703593,35.21,24.990205,749.706142,0
B0,510,P2,5,V2,Optimal,1,0.731532,0.73153236,-3.6E-7,3.6E-7,-0.00004921179114515837994783550139,TIE,30,30,0.68685457,0.66483516,0.03853038,87.93,24.133124,723.993707,0
B0,510,P3,5,V2,Optimal,1,0.709534,0.70953398,2E-8,2E-8,0.000002818751462227321030422784532,TIE,30,30,0.6723545,0.68625356,0.02794597,195.46,16.900351,507.010529,0
B0,510,P4,5,V2,Optimal,1,0.717165,0.71075499,0.00641001,0.00641001,0.8937984982535399803392524733,MILP_HIGHER,30,30,0.6972212,0.69916565,0.01464901,37.71,21.39729,641.918695,0
B0,510,P5,5,V2,Optimal,1,0.700376,0.70037648,-4.8E-7,4.8E-7,-0.00006853461569214250631089586165,TIE,30,30,0.67327556,0.67772182,0.01803598,55.26,17.908603,537.258096,0
B0,510,P6,5,V2,Optimal,1,0.677401,0.6774013,-3E-7,3E-7,-0.00004428691425020039828698215680,TIE,30,30,0.645504,0.64409849,0.01812046,116.86,23.658337,709.750108,0
B0,510,P7,5,V2,Optimal,1,0.747914,0.74791412,-1.2E-7,1.2E-7,-0.00001604462545158935385619202208,TIE,30,30,0.73274556,0.73983516,0.0092664,165.64,15.280486,458.414581,0
B0,510,P8,5,V2,Optimal,1,0.741962,0.74196174,2.6E-7,2.6E-7,0.00003504222588218803658408382100,TIE,30,30,0.68565222,0.67392145,0.03418269,125.09,13.186335,395.590058,0
B0,510,P9,5,V2,Optimal,1,0.729558,0.7295584,-4E-7,4E-7,-0.00005482771760435770699519435055,TIE,30,30,0.72400861,0.7250407,0.00671182,106.48,10.626536,318.796093,0
B0,510,P10,5,V2,Optimal,1,0.75,0.74166667,0.00833333,0.00833333,1.111110666666666666666666667,MILP_HIGHER,30,30,0.72877255,0.74166667,0.01998243,114.52,10.318085,309.542547,0
B0,510,P11,5,V2,Optimal,1,0.715731,0.71573057,4.3E-7,4.3E-7,0.00006007843728998743941508751193,TIE,30,30,0.6731763,0.67022283,0.01824024,31.4,11.922711,357.681322,0
B0,510,P12,5,V2,Optimal,1,0.730993,0.73099308,-8E-8,8E-8,-0.00001094401724777118248738360012,TIE,30,30,0.69045788,0.69166667,0.02137294,130.29,11.671052,350.131566,0
B0,510,P1,6,V2,Optimal,1,0.688115,0.68811559,-5.9E-7,5.9E-7,-0.00008574148216504508694040966990,TIE,30,30,0.65696446,0.64981685,0.01943087,52.25,12.183223,365.496677,0
B0,510,P2,6,V2,Optimal,1,0.724237,0.72423687,1.3E-7,1.3E-7,0.00001794992523165759274933481719,TIE,30,30,0.66714828,0.65962047,0.03178631,118.44,13.329312,399.879347,0
B0,510,P3,6,V2,Optimal,1,0.712311,0.71231176,-7.6E-7,7.6E-7,-0.0001066949689110514929574301113,TIE,30,30,0.67176638,0.67299044,0.02161974,236.74,13.811974,414.35921,0
B0,510,P4,6,V2,Optimal,1,0.719943,0.71225071,0.00769229,0.00769229,1.068458197385070762546479374,MILP_HIGHER,30,30,0.69426876,0.69839235,0.01647055,64.16,11.528671,345.860142,0
B0,510,P5,6,V2,Optimal,1,0.701899,0.70189934,-3.4E-7,3.4E-7,-0.00004844001772334766113073248430,TIE,30,30,0.67981368,0.68052503,0.01746277,72.31,13.886491,416.594737,0
B0,510,P6,6,V2,Optimal,1,0.685735,0.68573464,3.6E-7,3.6E-7,0.00005249841411040708145274778158,TIE,30,30,0.65251899,0.65331705,0.02313906,144.72,15.041003,451.230101,0
B0,510,P7,6,V2,Optimal,1,0.737058,0.73705739,6.1E-7,6.1E-7,0.00008276146517641759535884557253,TIE,30,30,0.72396622,0.72408425,0.00820133,425.42,13.050731,391.521926,0
B0,510,P8,6,V2,Optimal,1,0.734667,0.73466626,7.4E-7,7.4E-7,0.0001007259071116573903550860458,TIE,30,30,0.68861315,0.67777778,0.03125951,429.72,13.711939,411.358184,0
B0,510,P9,6,V2,Optimal,1,0.727432,0.72743183,1.7E-7,1.7E-7,0.00002336988199584291040262182582,TIE,30,30,0.72103141,0.72222222,0.00712071,738.83,13.395899,401.876966,0
B0,510,P10,6,V2,Optimal,1,0.738889,0.73888889,1.1E-7,1.1E-7,0.00001488721580643371331823859876,TIE,30,30,0.72126272,0.72777778,0.01890535,626.23,12.486587,374.597619,0
B0,510,P11,6,V2,Optimal,1,0.721286,0.72128612,-1.2E-7,1.2E-7,-0.00001663695122323183868812093954,TIE,30,30,0.6692735,0.66431624,0.02101972,34.78,12.819818,384.594544,0
B0,510,P12,6,V2,Optimal,1,0.727177,0.7216219,0.0055551,0.0055551,0.7639268018652955195227571829,MILP_HIGHER,30,30,0.68656627,0.68638075,0.02349009,192.7,12.715447,381.463401,0
B0,510,P1,7,V2,Optimal,1,0.687322,0.68732194,6E-8,6E-8,0.000008729532882695446966632815478,TIE,30,30,0.6630715,0.66844729,0.02450452,38.14,15.555867,466.676007,0
B0,510,P2,7,V2,Optimal,1,0.707571,0.70757021,7.9E-7,7.9E-7,0.0001116495729757155112349149414,TIE,30,30,0.6755715,0.67562068,0.02949487,299.84,15.738696,472.160881,0
B0,510,P3,7,V2,Optimal,1,0.706756,0.70675621,-2.1E-7,2.1E-7,-0.00002971322493194256575112202797,TIE,30,30,0.67064001,0.6733313,0.02284998,358.92,13.632285,408.968539,0
