project,team_size_tested,metodo,status,AT,AC_original,AC_after_compression,AE,time_s,mip_gap_pct,best_bound,must_dom_ok,must_eco_ok,must_ling_ok,all_must_ok,ilp_suffered
P1,5,ILP,Optimal,0.732601,0.86,0.68,0.688767,35.21,0,0.355433455433455,true,true,true,true,false
P2,5,ILP,Optimal,0.889194,0.9,0.7,0.731532,87.93,0,0.398199023199023,true,true,true,true,false
P3,5,ILP,Optimal,0.907204,0.84,0.67,0.709534,195.46,0,0.37620065120065,true,true,true,true,false
P4,5,ILP,Optimal,0.952991,0.84,0.67,0.717165,37.71,0,0.383831908831908,true,true,true,true,false
P5,5,ILP,Optimal,0.852259,0.84,0.67,0.700376,55.26,0,0.367043142043142,true,true,true,true,false
P6,5,ILP,Optimal,0.814408,0.8,0.65,0.677401,116.86,0,0.344067969067969,true,true,true,true,false
P7,5,ILP,Optimal,0.987485,0.9,0.7,0.747914,165.64,0,0.414580789580789,true,true,true,true,false
P8,5,ILP,Optimal,0.95177,0.9,0.7,0.741962,125.09,0,0.408628408628408,true,true,true,true,false
P9,5,ILP,Optimal,0.92735,0.88,0.69,0.729558,106.48,0,0.396225071225071,true,true,true,true,false
P10,5,ILP,Optimal,1,0.9,0.7,0.75,114.52,0,0.416666666666666,true,true,true,true,false
P11,5,ILP,Optimal,0.894383,0.86,0.68,0.715731,31.4,0,0.382397232397232,true,true,true,true,false
P12,5,ILP,Optimal,0.985958,0.86,0.68,0.730993,130.29,0,0.397659747659747,true,true,true,true,false
P1,6,ILP,Optimal,0.862027,0.806667,0.653333,0.688115,52.25,0,0.354782254782254,true,true,true,true,false
P2,6,ILP,Optimal,0.912088,0.873333,0.686667,0.724237,118.44,0,0.39090354090354,true,true,true,true,false
P3,6,ILP,Optimal,0.907204,0.846667,0.673333,0.712311,236.74,0,0.378978428978429,true,true,true,true,false
P4,6,ILP,Optimal,0.952991,0.846667,0.673333,0.719943,64.16,0.0099,0.38660968660968,true,true,true,true,true
P5,6,ILP,Optimal,0.844729,0.846667,0.673333,0.701899,72.31,0,0.368566001899335,true,true,true,true,false
P6,6,ILP,Optimal,0.814408,0.82,0.66,0.685735,144.72,0,0.352401302401302,true,true,true,true,false
P7,6,ILP,Optimal,0.989011,0.873333,0.686667,0.737058,425.42,0,0.403724053724053,true,true,true,true,false
P8,6,ILP,Optimal,0.974664,0.873333,0.686667,0.734667,429.72,0,0.401332926332926,true,true,true,true,false
P9,6,ILP,Optimal,0.964591,0.86,0.68,0.727432,738.83,0,0.394098494098494,true,true,true,true,false
P10,6,ILP,Optimal,1,0.873333,0.686667,0.738889,626.23,0,0.405555555555555,true,true,true,true,false
P11,6,ILP,Optimal,0.894383,0.873333,0.686667,0.721286,34.78,0,0.387952787952788,true,true,true,true,false
P12,6,ILP,Optimal,0.963065,0.86,0.68,0.727177,192.7,0,0.393844118844118,true,true,true,true,false
P1,7,ILP,Optimal,0.862027,0.804762,0.652381,0.687322,38.14,0,0.353988603988604,true,true,true,true,false
P2,7,ILP,Optimal,0.912088,0.833333,0.666667,0.707571,299.84,0,0.374236874236874,true,true,true,true,false
P3,7,ILP,Optimal,0.907204,0.833333,0.666667,0.706756,358.92,0,0.373422873422873,true,true,true,true,false
P4,7,ILP,Optimal,0.967033,0.833333,0.666667,0.716728,45.67,0,0.383394383394383,true,true,true,true,false
P5,7,ILP,Optimal,0.892552,0.833333,0.666667,0.704315,77.06,0,0.37098087098087,true,true,true,true,false
P6,7,ILP,Optimal,0.964591,0.766667,0.633333,0.688543,291.71,0,0.355209605209605,true,true,true,true,false
P7,7,ILP,Optimal,0.989011,0.842857,0.671429,0.724359,321.47,0,0.391025641025641,true,true,true,true,false
P8,7,ILP,Optimal,0.987485,0.833333,0.666667,0.720137,154.29,0,0.386803011803011,true,true,true,true,false
