pool,candidate_pool_size,project,team_size_k,knowledge_version,milp_status,milp_certified,milp_AE,ga_best_AE,signed_AE_difference,absolute_AE_difference,signed_relative_difference_pct,comparison,ga_runs,ga_valid_runs,ga_AE_mean,ga_AE_median,ga_AE_std,milp_time_s,ga_mean_time_s,ga_total_time_s,runtime_review_required
B1,1000,P1,4,V2,Feasible (decomp: A=Feasible (time limit); B=Feasible (time limit)),0,0.706502,0.70650183,1.7E-7,1.7E-7,0.00002406221072268726769350971406,TIE,30,30,0.66462997,0.65865385,0.03582983,7205.75,7.581689,227.450684,0
B1,1000,P2,4,V2,Feasible (decomp: A=Feasible (time limit); B=Feasible (time limit)),0,0.731532,0.73153236,-3.6E-7,3.6E-7,-0.00004921179114515837994783550139,TIE,30,30,0.6724688,0.65761091,0.04380097,7208.63,9.518276,285.548271,0
B1,1000,P3,4,V2,Feasible (decomp: A=Feasible (time limit); B=Feasible (time limit)),0,0.706756,0.68839031,0.01836569,0.01836569,2.598589895239658382808211037,MILP_HIGHER,30,30,0.64523301,0.64069495,0.03216903,7207.03,9.624885,288.746565,0
B1,1000,P4,4,V2,Feasible (decomp: A=Feasible (time limit); B=Feasible (time limit)),0,0.715507,0.71550672,2.8E-7,2.8E-7,0.00003913309024230370911814978749,TIE,30,30,0.68133225,0.68439662,0.02466042,7207.88,8.785015,263.550437,0
B1,1000,P5,4,V2,Feasible (decomp: A=Feasible (time limit); B=Feasible (time limit)),0,0.689629,0.69315561,-0.00352661,0.00352661,-0.5113778567896651677931177488,GA_HIGHER,30,30,0.65230147,0.66970221,0.0376608,7206.5,9.323423,279.702698,0
B1,1000,P6,4,V2,Feasible (decomp: A=Feasible (time limit); B=Feasible (time limit)),0,0.692358,0.69235857,-5.7E-7,5.7E-7,-0.00008232735087916944702018320002,TIE,30,30,0.64509395,0.64105108,0.02768365,7207.57,10.300229,309.006882,0
B1,1000,P7,4,V2,Feasible (decomp: A=Feasible (time limit); B=Feasible (time limit)),0,0.748168,0.7481685,-5E-7,5E-7,-0.00006682990985981758107804664193,TIE,30,30,0.72203059,0.73427961,0.03896541,7209.25,8.434625,253.038748,0
B1,1000,P8,4,V2,Feasible (decomp: A=Feasible (time limit); B=Feasible (time limit)),0,0.741962,0.74196174,2.6E-7,2.6E-7,0.00003504222588218803658408382100,TIE,30,30,0.68540056,0.68055556,0.03658233,7209.43,10.543004,316.290106,0
B1,1000,P9,4,V2,Feasible (decomp: A=Feasible (time limit); B=Feasible (time limit)),0,0.737892,0.73789174,2.6E-7,2.6E-7,0.00003523550871943319618589170231,TIE,30,30,0.71335979,0.71606634,0.01486084,7202.43,10.483015,314.490452,0
B1,1000,P10,4,V2,Feasible (decomp: A=Feasible (time limit); B=Feasible (time limit)),0,0.75,0.75,0.00,0.00,0,TIE,30,30,0.72219848,0.73506817,0.03248035,7202.33,7.594284,227.82851,0
B1,1000,P11,4,V2,Feasible (decomp: A=Feasible (time limit); B=Feasible (time limit)),0,0.713319,0.71331909,-9E-8,9E-8,-0.00001261707595059153057748356626,TIE,30,30,0.65798399,0.65524522,0.03351424,7202.34,10.007755,300.232651,0
B1,1000,P12,4,V2,Feasible (decomp: A=Feasible (time limit); B=Feasible (time limit)),0,0.729955,0.71606634,0.01388866,0.01388866,1.902673452473097656704865368,MILP_HIGHER,30,30,0.69062373,0.68981481,0.01623934,7203.33,8.271654,248.149634,0
