project,team_size_tested,n_runs,n_valid_runs,valid_rate,best_AE,best_AT,best_AC,best_seed,best_time_s,AE_mean,AE_median,AE_std,AT_mean,AC_mean,time_total_s,time_mean_s,time_median_s,stop_reason_best
P1,4,30,30,1,0.70650183,0.98901099,0.65,8,5.005274,0.66462997,0.65865385,0.03582983,0.90722426,0.61611111,227.450684,7.581689,7.330985,stable_gens_no_improve
P2,4,30,30,1,0.73153236,0.88919414,0.7,4,14.59472,0.6724688,0.65761091,0.04380097,0.83935694,0.63944444,285.548271,9.518276,9.331,stable_gens_no_improve
P3,4,30,30,1,0.68839031,0.79700855,0.66666667,3,10.938524,0.64523301,0.64069495,0.03216903,0.84362027,0.60555556,288.746565,9.624885,8.98491,stable_gens_no_improve
P4,4,30,30,1,0.71550672,0.79304029,0.7,12,11.933036,0.68133225,0.68439662,0.02466042,0.86021571,0.64555556,263.550437,8.785015,7.926805,stable_gens_no_improve
P5,4,30,30,1,0.69315561,0.82560033,0.66666667,12,7.678,0.65230147,0.66970221,0.0376608,0.78024013,0.62722222,279.702698,9.323423,8.840542,stable_gens_no_improve
P6,4,30,30,1,0.69235857,0.98748474,0.63333333,14,6.558853,0.64509395,0.64105108,0.02768365,0.95389703,0.58333333,309.006882,10.300229,9.390398,stable_gens_no_improve
P7,4,30,30,1,0.7481685,0.98901099,0.7,2,8.931453,0.72203059,0.73427961,0.03896541,0.97107245,0.67222222,253.038748,8.434625,8.079368,stable_gens_no_improve
P8,4,30,30,1,0.74196174,0.95177045,0.7,11,12.374941,0.68540056,0.68055556,0.03658233,0.90407,0.64166667,316.290106,10.543004,9.962262,stable_gens_no_improve
P9,4,30,30,1,0.73789174,0.92735043,0.7,15,8.68456,0.71335979,0.71606634,0.01486084,0.93571429,0.66888889,314.490452,10.483015,9.271589,stable_gens_no_improve
P10,4,30,30,1,0.75,1,0.7,1,9.702531,0.72219848,0.73506817,0.03248035,0.98041311,0.67055556,227.82851,7.594284,6.971725,stable_gens_no_improve
P11,4,30,30,1,0.71331909,0.77991453,0.7,14,9.475452,0.65798399,0.65524522,0.03351424,0.84234839,0.62111111,300.232651,10.007755,9.63118,stable_gens_no_improve
P12,4,30,30,1,0.71606634,0.96306471,0.66666667,1,11.418759,0.69062373,0.68981481,0.01623934,0.95485348,0.63777778,248.149634,8.271654,8.074651,stable_gens_no_improve
